mu,eta,success,max_height,max_pitch,settling_time,max_overshoot
0.05,0.0,False,0.5019414291218177,45.165716000812786,,
0.05,0.1,False,0.5019414291218177,45.17114971654063,,
0.05,0.2,False,0.5019414291218177,45.23158916808795,,
0.05,0.3,False,0.5019414291218177,45.21548134012459,,
0.05,0.4,False,0.5019414291218177,45.08923690813614,,
0.05,0.5,False,0.5019414291218177,45.09998871457629,,
0.1,0.0,False,0.5030111740291102,45.02997749398105,,
0.1,0.1,False,0.5030111740291102,45.13905401170575,,
0.1,0.2,False,0.5030111740291102,45.18805879949972,,
0.1,0.3,False,0.5030111740291102,45.155494426039475,,
0.1,0.4,False,0.5030111740291102,45.085924849104465,,
0.1,0.5,False,0.5030111740291102,45.24876007353071,,
0.15,0.0,False,0.5034497325723897,44.98242112386408,,
0.15,0.1,False,0.5034497325723897,45.07927833049882,,
0.15,0.2,False,0.5034497325723897,45.22420333494273,,
0.15,0.3,False,0.5034497325723897,45.20761511475144,,
0.15,0.4,False,0.5034497325723897,45.200380817410014,,
0.15,0.5,False,0.5034497325723897,45.1154225886771,,
0.2,0.0,False,0.503796579898483,44.999743883420535,,
0.2,0.1,False,0.503796579898483,45.08883520682972,,
0.2,0.2,False,0.503796579898483,45.061745518368284,,
0.2,0.3,False,0.503796579898483,45.09015898558369,,
0.2,0.4,False,0.503796579898483,45.12501230614562,,
0.2,0.5,False,0.503796579898483,45.12063399572872,,
0.25,0.0,False,0.5040869574690406,45.20568749907913,,
0.25,0.1,False,0.5040869574690406,45.131675321853606,,
0.25,0.2,False,0.5040869574690406,45.24877079451537,,
0.25,0.3,False,0.5040869574690406,45.069152721914776,,
0.25,0.4,False,0.5040869574690406,45.104413008802574,,
0.25,0.5,False,0.5040869574690406,45.251189036543124,,
0.3,0.0,False,0.5043272558320996,45.28181507895252,,
0.3,0.1,False,0.5043272558320996,45.160629494891744,,
0.3,0.2,False,0.5043272558320996,45.03944748225984,,
0.3,0.3,False,0.5043272558320996,45.34691382463493,,
0.3,0.4,False,0.5043272558320996,45.22141817165737,,
0.3,0.5,False,0.5043272558320996,45.0959276238229,,
